Field=#~Integer~#~50|Field=Line #~String~Line #~90|Field=Name~String~Name~131|Field=Description~String~Description~134|Field=Designator~String~Designator~131|Field=Quantity~Integer~Quantity~138|Field=Manufacturer 1~String~Manufacturer 1~156|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~225|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~199|Field=Supplier 1~String~Supplier 1~136|Field=Supplier Part Number 1~String~Supplier Part Number 1~194|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~174|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~166|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arriquitaun.PrjPcb|ReportField=ProjectFullPath~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [Arriquitaun.BomDoc]|ReportField=ReportTime~22:51:53|ReportField=ReportDate~13/04/2019|ReportField=ReportDateTime~13/04/2019 22:51:53|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~112|ReportField=TotalActualPrice~35,23|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~13/04/2019|ReportField=CurrentTime~22:51:45|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun2.SchDoc|ReportField=DocumentName~Arriquitaun2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~13/04/2019|ReportField=Organization~|ReportField=ProjectName~Arriquitaun.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Arriquitaun.BomDoc|ReportField=DataSourceFullPath~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|14|TLV117112DCYR|Reguladores de voltaje LDO 1A + Fixed Vltg Lo-Drpout Linear Reg|U8|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV117112DCYR%26seller%3DMouser%26sku%3D595-TLV117112DCYR%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV117112DCYR%26seller%3DMouser%26sku%3D595-TLV117112DCYR%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TLV117112DCYR{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV117112DCYR%26seller%3DMouser%26sku%3D595-TLV117112DCYR%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}595-TLV117112DCYR{URL.TIP}Supplier|0,66|0,66
12|2|AT25SF041-SSHD-T|Flash NOR 4Mb, 2.5-3.6V,104Mhz Serial Flash|IC2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdesto%2520Technologies%26mpn%3DAT25SF041-SSHD-T%26seller%3DFarnell%26sku%3D2909988%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Adesto%20Technologies{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdesto%2520Technologies%26mpn%3DAT25SF041-SSHD-T%26seller%3DFarnell%26sku%3D2909988%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AT25SF041-SSHD-T{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdesto%2520Technologies%26mpn%3DAT25SF041-SSHD-T%26seller%3DFarnell%26sku%3D2909988%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2909988{URL.TIP}Supplier|0,274|0,274
13|3|ATmega644PA-AUR|8-bit AVR Microcontroller, 64KB Flash, 2KB EEPROM, 4KB SRAM, 44-pin TQFP, Industrial Grade (-40°C to 85°C), Reel|U2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA644PA-AUR%26seller%3DFarnell%26sku%3D2484915%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA644PA-AUR%26seller%3DFarnell%26sku%3D2484915%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ATMEGA644PA-AUR{URL.TIP}Manufacturer|Unknown|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA644PA-AUR%26seller%3DFarnell%26sku%3D2484915%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2484915{URL.TIP}Supplier|3,87|3,87
14|15|7C-8.000MBB-T|Osciladores de reloj estándar 8 8.000MHz 3.3V50ppm(-10 +70C)|U4|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTXC%26mpn%3D7C-8.000MBB-T%26seller%3DFarnell%26sku%3D1842054%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}TXC{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTXC%26mpn%3D7C-8.000MBB-T%26seller%3DFarnell%26sku%3D1842054%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}7C-8.000MBB-T{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTXC%26mpn%3D7C-8.000MBB-T%26seller%3DFarnell%26sku%3D1842054%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1842054{URL.TIP}Supplier|1,04|1,04
15|16|5988210107F|LED, Rojo, Montaje Superficial, 1206 (Métrico 3216), 20 mA, 2 V, 640 nm|D1, D2, D3, D4, D5, D6, D7, D8, D9|9|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDialight%26mpn%3D5988210107F%26seller%3DFarnell%26sku%3D1465997%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Dialight{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDialight%26mpn%3D5988210107F%26seller%3DFarnell%26sku%3D1465997%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}5988210107F{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDialight%26mpn%3D5988210107F%26seller%3DFarnell%26sku%3D1465997%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1465997{URL.TIP}Supplier|0,236|2,12
16|17|Header 5X2|Header, 5-Pin, Dual row|P3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}2211S-06G{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1593415{URL.TIP}Supplier|0,0301|1,51
17|18|Header 6H|Header, 6-Pin, Right Angle|P2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}2211S-06G{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3D2211S-06G%26seller%3DFarnell%26sku%3D1593415%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1593415{URL.TIP}Supplier|0,0301|1,51
18|19|Res3|Resistor|R1, R2, R3, R4, R5, R28, R29, R31, R35, R37, R42|11|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCMR06X331JTL{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2073475{URL.TIP}Supplier|0,0049|0,0539
19|20|Res3|Resistor|R6|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Farnell|{URL}{URL.TEXT}{URL.TIP}Supplier||
20|27|Res3|Resistor|R32, R36, R38, R39|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Multicomp{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MCMR06X331JTL{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMulticomp%26mpn%3DMCMR06X331JTL%26seller%3DFarnell%26sku%3D2073475%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2073475{URL.TIP}Supplier|0,0049|0,049
